Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,7640,7640,7250,7300,6911.130859,66610
2014-04-22,7300,7540,7130,7520,7119.411621,90069
2014-04-23,7450,7630,7400,7500,7100.477051,61001
2014-04-24,7510,7510,7150,7300,6911.130859,91590
2014-04-25,7230,7340,7110,7110,6731.252441,35508
2014-04-28,7110,7280,7010,7030,6655.513672,29510
2014-04-29,7030,7280,6920,7030,6655.513672,33356
2014-04-30,7120,7280,7030,7250,6863.794434,27983
2014-05-02,7250,7450,7150,7190,6806.991211,16601
2014-05-07,7190,7340,7060,7240,6854.327148,23243
2014-05-08,7250,7300,7050,7220,6835.393066,31420
2014-05-09,7280,7300,7150,7220,6835.393066,17264
2014-05-12,7220,7220,7090,7100,6721.785156,28484
2014-05-13,7050,7050,6750,6830,6466.16748,85328
2014-05-14,6800,6850,6600,6610,6257.887207,78198
2014-05-15,6610,6680,6300,6400,6059.07373,206861
2014-05-16,6400,6480,6310,6370,6030.671875,71825
2014-05-19,6370,6400,6140,6150,5822.391602,59351
2014-05-20,6260,6260,6040,6240,5907.59668,23880
2014-05-21,6100,6400,6100,6400,6059.07373,33740
2014-05-22,6430,6500,6370,6370,6030.671875,20481
2014-05-23,6400,6460,6260,6420,6078.008789,12580
2014-05-26,6710,6890,6360,6400,6059.07373,122620
2014-05-27,6490,6550,6340,6480,6134.8125,46960
2014-05-28,6540,6890,6540,6810,6447.233398,112815
2014-05-29,6850,6850,6630,6800,6437.766113,29960
2014-05-30,6800,6800,6640,6660,6305.223633,29900
2014-06-02,6750,6750,6300,6300,5964.400879,39025
2014-06-03,6300,6300,6130,6200,5869.728027,35576
2014-06-05,6200,6480,6130,6200,5869.728027,48785
2014-06-09,6200,6240,5820,5930,5614.110352,72053
2014-06-10,5980,6200,5880,5950,5633.04541,30770
2014-06-11,5940,6100,5840,5860,5547.839355,32213
2014-06-12,5860,6100,5800,6090,5765.587891,36913
2014-06-13,6100,6140,5990,6070,5746.652832,9780
2014-06-16,6070,6070,5700,5770,5462.633789,89124
2014-06-17,5830,5910,5690,5790,5481.568359,99784
2014-06-18,5800,5920,5710,5900,5585.708496,45795
2014-06-19,5880,6060,5880,6000,5680.381836,28282
2014-06-20,5900,6070,5900,5980,5661.446777,7615
2014-06-23,5990,5990,5760,5760,5453.166016,26782
2014-06-24,5840,5840,5720,5790,5481.568359,8260
2014-06-25,5800,5900,5700,5890,5576.241699,26735
2014-06-26,5850,6050,5840,6050,5727.718262,56286
2014-06-27,6110,6110,5890,6060,5737.185547,15848
2014-06-30,6070,6450,6050,6400,6059.07373,102300
2014-07-01,6420,6530,6240,6340,6002.270508,40106
2014-07-02,6270,6380,6240,6300,5964.400879,18736
2014-07-03,6350,6410,6260,6400,6059.07373,27497
2014-07-04,6370,6600,6370,6590,6238.952637,33517
2014-07-07,6530,6760,6480,6700,6343.092773,36445
2014-07-08,6570,6780,6570,6660,6305.223633,25801
2014-07-09,6600,6600,6460,6460,6115.87793,36324
2014-07-10,6460,6560,6350,6510,6163.214355,21296
2014-07-11,6390,6600,6390,6530,6182.148926,11942
2014-07-14,6600,6680,6480,6600,6248.42041,34429
2014-07-15,6680,6680,6200,6270,5935.999023,71371
2014-07-16,6290,6310,6150,6200,5869.728027,31192
2014-07-17,6200,6280,6130,6280,5945.466309,31353
2014-07-18,6280,6290,6020,6040,5718.250977,52643
2014-07-21,6040,6120,6040,6040,5718.250977,8404
2014-07-22,6010,6080,5930,6040,5718.250977,36870
2014-07-23,6100,6230,5980,6180,5850.792969,24367
2014-07-24,6180,6180,5960,6050,5727.718262,40096
2014-07-25,6050,6100,6000,6040,5718.250977,11823
2014-07-28,5980,6060,5920,6000,5680.381836,28465
2014-07-29,6000,6220,5950,6000,5680.381836,55851
2014-07-30,6070,6120,5980,6050,5727.718262,15614
2014-07-31,6050,6200,6020,6130,5803.457031,14915
2014-08-01,6000,6270,6000,6190,5860.260254,11160
2014-08-04,6080,6190,6000,6130,5803.457031,10235
2014-08-05,6100,6150,6050,6120,5793.989258,4877
2014-08-06,6050,6110,6010,6090,5765.587891,13715
2014-08-07,6150,6150,5950,5950,5633.04541,15324
2014-08-08,5990,6040,5840,6000,5680.381836,15730
2014-08-11,6000,6090,5920,6000,5680.381836,8025
2014-08-12,5950,6070,5900,5960,5642.512695,5655
2014-08-13,5910,6050,5640,5660,5358.493652,129111
2014-08-14,5690,5800,5650,5660,5358.493652,33674
2014-08-18,5660,5840,5660,5740,5434.231934,24080
2014-08-19,5750,5890,5710,5890,5576.241699,17131
2014-08-20,5890,5900,5750,5750,5443.699707,15158
2014-08-21,5750,5940,5680,5690,5386.895508,29946
2014-08-22,5690,5760,5640,5710,5405.830078,22046
2014-08-25,5750,5800,5520,5520,5225.951172,48403
2014-08-26,5550,5640,5500,5510,5216.483887,46572
2014-08-27,5510,5740,5510,5670,5367.960449,21388
2014-08-28,5720,5770,5570,5700,5396.362793,31530
2014-08-29,5690,5700,5550,5550,5254.353027,26211
2014-09-01,5620,5630,5550,5570,5273.287598,9487
2014-09-02,5630,5630,5440,5520,5225.951172,61705
2014-09-03,5500,5540,5400,5400,5112.34375,21648
2014-09-04,5440,5440,5200,5200,4922.998047,56307
2014-09-05,5230,5250,5150,5230,4951.399414,26606
2014-09-11,5230,5590,5200,5440,5150.212891,40202
2014-09-12,5490,5550,5400,5440,5150.212891,22989
2014-09-15,5520,5530,5430,5500,5207.016113,53066
2014-09-16,5510,5740,5510,5740,5434.231934,55361
2014-09-17,5740,5930,5630,5740,5434.231934,41287
2014-09-18,5730,5780,5640,5680,5377.428223,17947
2014-09-19,5750,5750,5550,5650,5349.025879,31232
2014-09-22,5630,6080,5560,6040,5718.250977,110290
2014-09-23,6100,6100,5740,5870,5557.307129,25543
2014-09-24,5900,5900,5720,5810,5500.50293,13622
2014-09-25,5660,5990,5580,5730,5424.764648,15429
2014-09-26,5820,5820,5700,5750,5443.699707,12080
2014-09-29,5700,6000,5620,5820,5509.970703,26528
2014-09-30,5860,5870,5660,5740,5434.231934,7809
2014-10-01,5740,5800,5490,5550,5254.353027,15817
2014-10-02,5400,5550,5400,5460,5169.146973,15931
2014-10-06,5460,5490,5380,5450,5159.680176,12725
2014-10-07,5340,5490,5310,5310,5027.137695,32318
2014-10-08,5230,5390,5230,5380,5093.408691,9579
2014-10-10,5380,5440,5280,5310,5027.137695,11023
2014-10-13,5310,5310,4985,5050,4780.987793,42931
2014-10-14,4915,5100,4915,5050,4780.987793,31298
2014-10-15,5050,5110,4895,4900,4638.978516,55412
2014-10-16,4860,5100,4810,5100,4828.324219,25088
2014-10-17,5040,5160,5000,5010,4743.118652,22234
2014-10-20,5000,5060,4945,5010,4743.118652,14994
2014-10-21,4975,5050,4955,5020,4752.586426,7351
2014-10-22,4975,5080,4975,5020,4752.586426,10438
2014-10-23,4960,5020,4945,4990,4724.184082,20264
2014-10-24,4990,5010,4845,4865,4605.842773,34259
2014-10-27,4915,4915,4640,4680,4430.698242,99418
2014-10-28,4680,4770,4680,4685,4435.431641,22471
2014-10-29,4695,4810,4695,4740,4487.501465,33120
2014-10-30,4700,4795,4680,4760,4506.436035,29902
2014-10-31,4785,4935,4735,4930,4667.380371,34292
2014-11-03,4930,4965,4850,4950,4686.314941,24631
2014-11-04,4970,4980,4630,4675,4425.963867,47949
2014-11-05,4725,4755,4630,4630,4383.36084,32380
2014-11-06,4635,4675,4600,4675,4425.963867,20828
2014-11-07,4675,4735,4625,4730,4478.034668,7006
2014-11-10,4780,4780,4680,4700,4449.631836,18311
2014-11-11,4735,4860,4710,4850,4591.64209,21089
2014-11-12,4885,5000,4875,4915,4653.179199,34127
2014-11-13,4915,4975,4860,4925,4662.646973,10605
2014-11-14,5160,5380,5010,5150,4875.661133,114004
2014-11-17,5150,5150,4950,4970,4705.249512,26731
2014-11-18,4995,5050,4860,4935,4672.11377,29927
2014-11-19,4965,4975,4830,4880,4620.043945,35631
2014-11-20,4875,5030,4805,4995,4728.917969,35258
2014-11-21,4955,5070,4945,5020,4752.586426,16561
2014-11-24,4960,5060,4960,5000,4733.651367,22926
2014-11-25,5000,5030,4955,5030,4762.053223,7934
2014-11-26,5040,5040,4960,5010,4743.118652,11696
2014-11-27,5010,5060,4965,5000,4733.651367,18138
